Campaign report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 January 2025 - 31 December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimisation score,Campaign type,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Clicks,Conv. rate,Avg. CPC,Cost / conv.,Cost,Conversions,Impr. (Top) %,Search lost top IS (rank),Search impr. share,Search lost IS (budget),Search exact match IS,Bid strategy type,Conv. value,Conv. value / cost,Original conv. value
May-25,Enabled,JDR Search | Europe (Outbound),97, --,Daily,GBP,Eligible (Limited),limited by budget,72.47,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Jun-25,Enabled,JDR Search | Europe (Outbound),97, --,Daily,GBP,Eligible (Limited),limited by budget,72.47,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Jul-25,Enabled,JDR Search | Europe (Outbound),97, --,Daily,GBP,Eligible (Limited),limited by budget,72.47,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Aug-25,Enabled,JDR Search | Europe (Outbound),97, --,Daily,GBP,Eligible (Limited),limited by budget,72.47,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Sep-25,Enabled,JDR Search | Europe (Outbound),97, --,Daily,GBP,Eligible (Limited),limited by budget,72.47,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Oct-25,Enabled,JDR Search | Europe (Outbound),97, --,Daily,GBP,Eligible (Limited),limited by budget,72.47,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Nov-25,Enabled,JDR Search | Europe (Outbound),97, --,Daily,GBP,Eligible (Limited),limited by budget,72.47,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Dec-25,Enabled,JDR Search | Europe (Outbound),97, --,Daily,GBP,Eligible (Limited),limited by budget,72.47,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Jan-25,Enabled,JDR Search | Domestic (Removals & Packing),40, --,Daily,GBP,Eligible (Limited),limited by budget,56.04,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Feb-25,Enabled,JDR Search | Domestic (Removals & Packing),40, --,Daily,GBP,Eligible (Limited),limited by budget,56.04,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Mar-25,Enabled,JDR Search | Domestic (Removals & Packing),40, --,Daily,GBP,Eligible (Limited),limited by budget,56.04,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Apr-25,Enabled,JDR Search | Domestic (Removals & Packing),40, --,Daily,GBP,Eligible (Limited),limited by budget,56.04,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
May-25,Enabled,JDR Search | Domestic (Removals & Packing),40, --,Daily,GBP,Eligible (Limited),limited by budget,56.04,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Jun-25,Enabled,JDR Search | Domestic (Removals & Packing),40, --,Daily,GBP,Eligible (Limited),limited by budget,56.04,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Jul-25,Enabled,JDR Search | Domestic (Removals & Packing),40, --,Daily,GBP,Eligible (Limited),limited by budget,56.04,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Aug-25,Enabled,JDR Search | Domestic (Removals & Packing),40, --,Daily,GBP,Eligible (Limited),limited by budget,56.04,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Sep-25,Enabled,JDR Search | Domestic (Removals & Packing),40, --,Daily,GBP,Eligible (Limited),limited by budget,56.04,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Oct-25,Enabled,JDR Search | Domestic (Removals & Packing),40, --,Daily,GBP,Eligible (Limited),limited by budget,56.04,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Nov-25,Enabled,JDR Search | Domestic (Removals & Packing),40, --,Daily,GBP,Eligible (Limited),limited by budget,56.04,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Dec-25,Enabled,JDR Search | Domestic (Removals & Packing),40, --,Daily,GBP,Eligible (Limited),limited by budget,56.04,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Jan-25,Enabled,JDR Search | London,28, --,Daily,GBP,Eligible (Limited),limited by budget,57.72,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Feb-25,Enabled,JDR Search | London,28, --,Daily,GBP,Eligible (Limited),limited by budget,57.72,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Mar-25,Enabled,JDR Search | London,28, --,Daily,GBP,Eligible (Limited),limited by budget,57.72,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Apr-25,Enabled,JDR Search | London,28, --,Daily,GBP,Eligible (Limited),limited by budget,57.72,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
May-25,Enabled,JDR Search | London,28, --,Daily,GBP,Eligible (Limited),limited by budget,57.72,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Jun-25,Enabled,JDR Search | London,28, --,Daily,GBP,Eligible (Limited),limited by budget,57.72,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Jul-25,Enabled,JDR Search | London,28, --,Daily,GBP,Eligible (Limited),limited by budget,57.72,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Aug-25,Enabled,JDR Search | London,28, --,Daily,GBP,Eligible (Limited),limited by budget,57.72,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Sep-25,Enabled,JDR Search | London,28, --,Daily,GBP,Eligible (Limited),limited by budget,57.72,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Oct-25,Enabled,JDR Search | London,28, --,Daily,GBP,Eligible (Limited),limited by budget,57.72,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Nov-25,Enabled,JDR Search | London,28, --,Daily,GBP,Eligible (Limited),limited by budget,57.72,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
Dec-25,Enabled,JDR Search | London,28, --,Daily,GBP,Eligible (Limited),limited by budget,57.72,Search,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,Maximise Conversions (Target CPA),0,0,0
 --,Total: Campaigns, --, --, --, --,GBP, --,, --, --,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --, --,0,0,0
 --,Total: Campaigns, --, --, --, --,GBP, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
 --,Total: Campaigns, --, --, --, --, --, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
Jan-25,Total: Campaigns, --, --, --, --, --, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
Feb-25,Total: Campaigns, --, --, --, --, --, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
Mar-25,Total: Campaigns, --, --, --, --, --, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
Apr-25,Total: Campaigns, --, --, --, --, --, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
May-25,Total: Campaigns, --, --, --, --, --, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
Jun-25,Total: Campaigns, --, --, --, --, --, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
Jul-25,Total: Campaigns, --, --, --, --, --, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
Aug-25,Total: Campaigns, --, --, --, --, --, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
Sep-25,Total: Campaigns, --, --, --, --, --, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
Oct-25,Total: Campaigns, --, --, --, --, --, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
Nov-25,Total: Campaigns, --, --, --, --, --, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
Dec-25,Total: Campaigns, --, --, --, --, --, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
 --,Total: Campaigns, --, --, --, --, --, --,, --, --,0,0,0, --,0,0, --,0,0,0,0, --, --, --, --, --, --,0,0,0
Jan-25,Total: Campaigns, --, --, --, --,GBP, --,, --, --,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --, --,0,0,0
Feb-25,Total: Campaigns, --, --, --, --,GBP, --,, --, --,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --, --,0,0,0
Mar-25,Total: Campaigns, --, --, --, --,GBP, --,, --, --,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --, --,0,0,0
Apr-25,Total: Campaigns, --, --, --, --,GBP, --,, --, --,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --, --,0,0,0
May-25,Total: Campaigns, --, --, --, --,GBP, --,, --, --,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --, --,0,0,0
Jun-25,Total: Campaigns, --, --, --, --,GBP, --,, --, --,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --, --,0,0,0
Jul-25,Total: Campaigns, --, --, --, --,GBP, --,, --, --,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --, --,0,0,0
Aug-25,Total: Campaigns, --, --, --, --,GBP, --,, --, --,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --, --,0,0,0
Sep-25,Total: Campaigns, --, --, --, --,GBP, --,, --, --,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --, --,0,0,0
Oct-25,Total: Campaigns, --, --, --, --,GBP, --,, --, --,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --, --,0,0,0
Nov-25,Total: Campaigns, --, --, --, --,GBP, --,, --, --,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --, --,0,0,0
Dec-25,Total: Campaigns, --, --, --, --,GBP, --,, --, --,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --, --,0,0,0
,Total: Account,,,,,GBP,,,,,0.023,"11,394,450","39,040",0.34%,1.17,"30,345",5.43%,1.51,21.59,45799.03,"2,121.55",56.66%,76.57%,< 10%,15.28%,< 10%,,"620,104.35",13.54,"620,104.35"
Jan-25,Total: Account,,,,,GBP,,,,,0.02,"272,112","3,652",1.34%,0.83,"3,651",7.29%,0.83,11.36,3025.02,266.2,58.57%,11.95%,< 10%,9.51%,< 10%,,"26,120.85",8.63,"26,120.85"
Apr-25,Total: Account,,,,,GBP,,,,,0.019,"682,581","3,903",0.57%,0.73,"3,690",3.28%,0.77,22.29,2852.47,128,53.80%,77.44%,< 10%,17.20%,< 10%,,"47,420.26",16.62,"47,420.26"
Jun-25,Total: Account,,,,,GBP,,,,,0.036,"188,889","2,033",1.08%,1.49,"2,019",5.56%,1.5,26.89,3038.49,113,67.31%,58.39%,< 10%,28.37%,< 10%,,"42,136.36",13.87,"42,136.36"
Sep-25,Total: Account,,,,,GBP,,,,,0.016,"107,369","2,323",2.16%,2.17,"2,170",10.62%,2.33,20.47,5051.58,246.74,50.52%,82.29%,< 10%,11.71%,< 10%,,"84,030.75",16.63,"84,030.75"
Nov-25,Total: Account,,,,,GBP,,,,,0,"165,037","1,677",1.02%,2.95,"1,677",10.67%,2.95,27.66,4951.43,179,52.02%,81.56%,< 10%,11.65%,< 10%,,"59,437.96",12,"59,437.96"
Feb-25,Total: Account,,,,,GBP,,,,,0.02,"8,746,990","8,028",0.09%,0.37,"4,955",1.67%,0.6,22.18,2972.62,134,65.09%,81.69%,< 10%,12.05%,< 10%,,"22,351.99",7.52,"22,351.99"
Dec-25,Total: Account,,,,,GBP,,,,,0,"15,100","1,218",8.07%,3.1,"1,190",8.17%,3.18,37.98,3779.4,99.5,54.71%,78.26%,< 10%,9.06%,< 10%,,"34,537.00",9.14,"34,537.00"
May-25,Total: Account,,,,,GBP,,,,,0,"180,961","1,986",1.10%,1.52,"1,981",6.19%,1.53,24.61,3026.86,123,58.33%,77.93%,< 10%,18.06%,< 10%,,"46,013.21",15.2,"46,013.21"
Oct-25,Total: Account,,,,,GBP,,,,,0.022,"89,449","2,116",2.37%,2.81,"2,098",12.99%,2.84,21.66,5950.9,274.79,48.27%,78.96%,< 10%,14.00%,< 10%,,"93,542.71",15.72,"93,542.71"
Jul-25,Total: Account,,,,,GBP,,,,,0.025,"224,303","2,486",1.11%,1.34,"2,082",5.90%,1.6,22.74,3332.67,146.57,66.22%,76.48%,< 10%,20.70%,< 10%,,"49,270.14",14.78,"49,270.14"
Aug-25,Total: Account,,,,,GBP,,,,,0.017,"187,549","3,627",1.93%,1.42,"2,746",7.75%,1.88,18.4,5168.36,280.96,59.46%,76.92%,< 10%,19.93%,< 10%,,"93,132.88",18.02,"93,132.88"
Mar-25,Total: Account,,,,,GBP,,,,,0.026,"534,110","5,991",1.12%,0.44,"2,086",2.17%,1.27,20.41,2649.24,129.79,58.57%,82.33%,< 10%,12.24%,< 10%,,"22,110.24",8.35,"22,110.24"
,Total: Search,,,,,GBP,,,,Search,0,"192,751","15,477",8.03%,1.74,"15,477",8.70%,1.74,20.07,27005.15,"1,345.74",56.66%,76.57%,< 10%,19.69%,< 10%,,"457,700.79",16.95,"457,700.79"
,Total: Display,,,,,GBP,,,,Display,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
,Total: In-stream video,,,,,GBP,,,,In-stream video,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
,Total: Performance Max,,,,,GBP,,,,Performance Max,0.023,"11,201,699","23,563",0.21%,0.8,"14,868",3.29%,1.26,24.22,18793.89,775.82, --, --,< 10%,11.82%,< 10%,,"162,403.56",8.64,"162,403.56"
Dec-25,Total: Search,,,,,GBP,,,,Search,0,"8,730",933,10.69%,3.33,933,8.20%,3.33,40.64,3108.78,76.5,54.71%,78.26%,10.47%,15.53%,< 10%,,"27,798.00",8.94,"27,798.00"
May-25,Total: Display,,,,,GBP,,,,Display,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Feb-25,Total: Performance Max,,,,,GBP,,,,Performance Max,0.02,"8,739,491","7,556",0.09%,0.36,"4,483",1.06%,0.61,34.33,2746.46,80, --, --,< 10%,11.38%,< 10%,,"15,851.99",5.77,"15,851.99"
Jun-25,Total: Display,,,,,GBP,,,,Display,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Mar-25,Total: Display,,,,,GBP,,,,Display,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Aug-25,Total: Display,,,,,GBP,,,,Display,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Jun-25,Total: In-stream video,,,,,GBP,,,,In-stream video,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Jan-25,Total: In-stream video,,,,,GBP,,,,In-stream video,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Jul-25,Total: Search,,,,,GBP,,,,Search,0,"25,083","1,514",6.04%,1.43,"1,514",6.47%,1.43,22.07,2162.9,98,66.22%,76.48%,< 10%,19.67%,< 10%,,"35,039.00",16.2,"35,039.00"
Apr-25,Total: Search,,,,,GBP,,,,Search,0,"23,518","2,858",12.15%,0.42,"2,858",3.04%,0.42,13.69,1190.75,86.95,53.80%,77.44%,< 10%,19.71%,< 10%,,"33,188.53",27.87,"33,188.53"
Feb-25,Total: Search,,,,,GBP,,,,Search,0,"7,499",472,6.29%,0.48,472,11.44%,0.48,4.19,226.16,54,65.09%,81.69%,< 10%,16.23%,< 10%,,"6,500.00",28.74,"6,500.00"
Oct-25,Total: Performance Max,,,,,GBP,,,,Performance Max,0.022,"68,415",439,0.64%,2.53,421,10.66%,2.64,23.73,1110.51,46.79, --, --,< 10%,9.90%,< 10%,,"13,709.69",12.35,"13,709.69"
Nov-25,Total: Performance Max,,,,,GBP,,,,Performance Max,0,"149,675",407,0.27%,2.42,407,11.79%,2.42,20.55,986.54,48, --, --,< 10%,8.15%,< 10%,,"13,950.78",14.14,"13,950.78"
Nov-25,Total: In-stream video,,,,,GBP,,,,In-stream video,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Feb-25,Total: In-stream video,,,,,GBP,,,,In-stream video,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Nov-25,Total: Search,,,,,GBP,,,,Search,0,"15,362","1,270",8.27%,3.12,"1,270",10.32%,3.12,30.27,3964.88,131,52.02%,81.56%,< 10%,13.61%,11.45%,,"45,487.18",11.47,"45,487.18"
Oct-25,Total: Display,,,,,GBP,,,,Display,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Mar-25,Total: Search,,,,,GBP,,,,Search,0,"4,137",334,8.07%,0.76,334,13.77%,0.76,5.48,252.26,46,58.57%,82.33%,< 10%,16.11%,< 10%,,"7,000.00",27.75,"7,000.00"
Nov-25,Total: Display,,,,,GBP,,,,Display,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Apr-25,Total: Display,,,,,GBP,,,,Display,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Sep-25,Total: Performance Max,,,,,GBP,,,,Performance Max,0.016,"87,109",661,0.76%,1.62,508,6.27%,2.1,25.76,1068.05,41.46, --, --,< 10%,8.18%,< 10%,,"12,148.14",11.37,"12,148.14"
Oct-25,Total: In-stream video,,,,,GBP,,,,In-stream video,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Aug-25,Total: In-stream video,,,,,GBP,,,,In-stream video,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Apr-25,Total: In-stream video,,,,,GBP,,,,In-stream video,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Dec-25,Total: In-stream video,,,,,GBP,,,,In-stream video,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Aug-25,Total: Search,,,,,GBP,,,,Search,0,"33,082","2,043",6.18%,1.94,"2,043",11.50%,1.94,16.87,3965.44,235,59.46%,76.92%,< 10%,19.91%,< 10%,,"79,779.00",20.12,"79,779.00"
Jul-25,Total: Display,,,,,GBP,,,,Display,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
Jun-25,Total: Performance Max,,,,,GBP,,,,Performance Max,0.036,"171,686",757,0.44%,1.68,743,4.62%,1.72,36.41,1274.34,35, --, --,< 10%,14.36%,< 10%,,"11,289.90",8.86,"11,289.90"
May-25,Total: Performance Max,,,,,GBP,,,,Performance Max,0,"164,498",579,0.35%,2.58,574,3.45%,2.61,74.8,1495.89,20, --, --,< 10%,16.73%,< 10%,,"6,066.21",4.06,"6,066.21"
May-25,Total: In-stream video,,,,,GBP,,,,In-stream video,0,0,0, --,0,0,0.00%,0,0,0,0, --, --, --, --, --,,0,0,0
